id,baseline_prediction,mismatches,challenger_preds
24677,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18525,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24497,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24475,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24472,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24457,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24456,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24455,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24431,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24386,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24381,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24380,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24366,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24348,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24330,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24309,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18939,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18919,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18911,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18906,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18887,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18885,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18842,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18805,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18804,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18788,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18769,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18746,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18734,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18728,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19122,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19112,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19106,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19098,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19097,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19096,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19087,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19072,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19042,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19037,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19011,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18998,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
